total_sqft,bath,location,price,size
1185,3,Scion Elite Apartments,5600000,3
1075,3,Bisuvanahalli,4200000,3
2722,4,Sukhi Apartments Rhenius Street,30000000,3
5500,5,Kanka Nagar,33500000,6
1750,3,KSRTC Colony,25000000,3
4500,5,Gollarapalya,14500000,9
10500,3,Naganathapura,40000000,10
683,2,RK Township,4300000,2
1650,3,Sonnenahalli Colony,13500000,3
1150,3,Shrivas serenity Lake veiw Gardens,4700000,2
3554,6,Hebbal Kempapura,41500000,3
580,2,Bhaktharahalli,8700000,5
982,3,Kannuru,6000000,2
1350,3,Victory Churekh,7000000,2
2200,4,Attibele,9500000,3
1327,3,IInd Phase,7500000,3
1558,3,Prakruthi Nagar,11000000,3
1140,3,JANANI Appartment,6500000,2
1000,3,Lake City,4400000,2
1839,3,Koramangala,38000000,3
1199,3,Essel Gardens,5394000,2
1079,3,Kothanur,5500000,2
1150,3,Kamala Nagar,8000000,2
1220,3,SLM Paradise,9400000,2
1334,3,K C Krishna Reddy Layout,7250000,3
987,3,Shriram Surabhi Apartment,4700000,2
1045,3,BTS Layout,4500000,2
1619,3,Chansandra,9400000,3
1223,3,Honour Aura,9800000,2
2700,4,Electronics City Phase 1,9000000,7
6879,6,Kodalagurki,120000000,4
1247,3,Jigani,4200000,2
1151,3,Sree Narayana Nagar,4200000,3
1173,3,Nallurhalli,10000000,2
905,3,Mallasandra,4200000,2
1405,3,Dodda Banaswadi,20000000,5
1203,3,Kodigehalli,5500000,2
1106,3,Bhadras paradise,5200000,2
1060,3,Gollahalli,6300000,2
1190,3,Kundalahalli,5550000,3
850,3,Electronic City Phase II,2950000,2
1067,3,VISL Layout,5300000,2
1180,3,Rasanna Colony,8500000,2
1250,3,Prasidhi builder,5900000,3
1303,3,Dodda Kempaiah Layout,7500000,3
1150,3,Gubbalala,5800000,2
1350,3,Lingadheeranahalli,7000000,2
3100,6,Biotech Park,11500000,4
953,3,Eastwood Township,8000000,2
1163,3,Nelamangala,7000000,2
1241,3,Chokkanahalli,7200000,3
4000,1,Islampur,32500000,7
4600,5,Phase 2,43000000,5
1235,3,Kyalasanahalli,9800000,2
1115,3,Kaval Bairasandra,5200000,2
2720,4,Doddanekundi,32700000,3
1150,3,Electronic City Phase II,7800000,2
1700,3,Yesvantpur Industrial Suburb,16500000,3
1285,3,Kaval Bairasandra,6000000,2
4563,5,Green Woods Layout,27900000,9
1600,3,Doddabommasandra,9000000,3
1058,3,Anchepalya,8750000,2
1225,3,Shree Ranga Priya Residency,10000000,2
1250,3,Thanisandra,6000000,2
4000,4,Sunrise Layout,14000000,8
1200,3,Samudrikaa uptown,6000000,2
1196,3,Green Woods Layout,7500000,2
2000,6,Biotech Park,11000000,3
1440,3,Chikkasanne,13200000,2
1750,3,AUM Residency,13000000,3
1150,3,J P Nakshatra,7900000,2
2000,2,BEML Cooperative Society Layout,13000000,3
2700,4,6th Phase,42500000,3
1850,3,startan heights,20000000,3
880,3,Kambipura,5500000,2
1600,3,5th Stage,14000000,3
2400,4,Marsur,9000000,4
2400,4,Tirumala Windsor,14000000,3
4170,5,Abshot Layout,84000000,3
1000,3,Medahalli,4900000,2
1200,3,Swami Corner Apartments,30000000,2
1279,3,Choodasandra,5800000,2
1300,3,Electronic City Phase II,5600000,3
1600,3,Builders apartment kora,21000000,3
1300,3,P&T Layout,7150000,2
1620,3,Sree Narayana Nagar,13000000,3
4500,5,Amalodbhavi Nagar,31000000,5
975,3,Mohammed Sab Palya,5500000,2
2000,3,Raghuvanahalli,13500000,5
1362,3,2 Stage,9500000,2
1500,3,Kadubeesanahalli,7300000,3
1395,3,Happy Valley Layout,11000000,3
975,3,AECS C Block,4300000,2
2300,4,Kalkere,13500000,4
1450,3,Prakruthi Nagar,6000000,3
1071,3,RR Nagar,5900000,2
3200,2,Anekal,12500000,4
4800,5,K C Krishna Reddy Layout,15900000,2
1133,3,Simhadri Layout,7100000,2
1312,3,Ardendale,8750000,3
3500,2,3rd Phase,50000000,6
950,3,Stage 4,12000000,3
1570,3,Electronics City Phase 1,6900000,3
12321,1,BEL,90000000,9
1150,3,Sri Ranga Paradise,6150000,2
3500,1,Golden Parvi Apartment Nagarabhavi,16900000,5
4000,1,Thomas Town,20000000,6
3900,2,Adityanagar,15600000,8
800,2,Yelahanka,4500000,5
1000,3,Ranganatha Nilaya,10500000,3
1050,3,Munireddy Layout,7500000,2
5381,5,Channasandra RR NAGAR BDA LAYOUT,27599999,7
2000,2,Malleshpalya,20000000,4
2300,4,Origin Harmony Grooves,13899999,4
1150,3,Satya apartment,3850000,2
1100,3,Ayyappa Nagar,8000000,3
2000,5,K Channasandra,9900000,4
1512,3,Nallurhalli,11700000,3
750,2,Rahmath Nagar,10500000,2
